motif	gene_symbol
E2F1.H13CORE.1.S.B	E2F1
E2F2.H13CORE.0.S.B	E2F2
E2F3.H13CORE.0.P.B	E2F3
E2F3.H13CORE.1.SM.B	E2F3
E2F4.H13CORE.0.P.B	E2F4
E2F4.H13CORE.1.P.B	E2F4
E2F4.H13CORE.2.S.B	E2F4
E2F6.H13CORE.0.P.B	E2F6
E2F7.H13CORE.0.S.C	E2F7
E2F7.H13CORE.1.P.B	E2F7
E2F8.H13CORE.0.P.C	E2F8
E2F8.H13CORE.1.SM.B	E2F8
TFDP1.H13CORE.0.P.B	TFDP1
COE1.H13CORE.0.P.B	EBF1
COE2.H13CORE.0.P.B	EBF2
COE3.H13CORE.0.P.B	EBF3
EHF.H13CORE.0.P.B	EHF
ELF1.H13CORE.0.PSM.A	ELF1
ELF2.H13CORE.0.PS.A	ELF2
ELF2.H13CORE.1.M.B	ELF2
ELF3.H13CORE.0.S.B	ELF3
ELF3.H13CORE.1.PM.A	ELF3
ELF4.H13CORE.0.PS.A	ELF4
ELF4.H13CORE.1.M.B	ELF4
ELF5.H13CORE.0.PSM.A	ELF5
ELF5.H13CORE.1.S.B	ELF5
ELK1.H13CORE.0.PSM.A	ELK1
ELK3.H13CORE.0.PSM.A	ELK3
ELK4.H13CORE.0.PSM.A	ELK4
ERF.H13CORE.0.PS.A	ERF
ERG.H13CORE.0.P.B	ERG
ERG.H13CORE.1.SM.B	ERG
ETS1.H13CORE.0.S.B	ETS1
ETS1.H13CORE.1.P.B	ETS1
ETS2.H13CORE.0.S.C	ETS2
ETS2.H13CORE.1.P.B	ETS2
ETV1.H13CORE.0.PSM.A	ETV1
ETV1.H13CORE.1.PM.A	ETV1
ETV2.H13CORE.0.S.B	ETV2
ETV2.H13CORE.1.PM.A	ETV2
ETV3.H13CORE.0.SM.B	ETV3
ETV4.H13CORE.0.P.B	ETV4
ETV4.H13CORE.1.SM.B	ETV4
ETV5.H13CORE.0.PS.A	ETV5
ETV5.H13CORE.1.PM.A	ETV5
ETV6.H13CORE.0.PS.A	ETV6
ETV6.H13CORE.1.P.B	ETV6
ETV7.H13CORE.0.SM.B	ETV7
ETV7.H13CORE.1.P.C	ETV7
FEV.H13CORE.0.S.B	FEV
FLI1.H13CORE.0.PSM.A	FLI1
FLI1.H13CORE.1.P.B	FLI1
GABPA.H13CORE.0.PSM.A	GABPA
SPDEF.H13CORE.0.PSM.A	SPDEF
SPDEF.H13CORE.1.SM.B	SPDEF
SPI1.H13CORE.0.P.B	SPI1
SPI1.H13CORE.1.S.B	SPI1
SPIB.H13CORE.0.P.B	SPIB
SPIB.H13CORE.1.S.C	SPIB
SPIB.H13CORE.2.SM.B	SPIB
ZFPM1.H13CORE.0.I.C	ZFPM1
ATF3.H13CORE.0.P.B	ATF3
ATF3.H13CORE.1.P.B	ATF3
ATF3.H13CORE.2.P.B	ATF3
ATF3.H13CORE.3.SM.B	ATF3
FOS.H13CORE.0.P.B	FOS
FOS.H13CORE.1.S.C	FOS
FOS.H13CORE.2.S.C	FOS
FOSB.H13CORE.0.P.B	FOSB
