motif	gene_symbol
ZN184.H13CORE.0.P.B	ZNF184
ZN189.H13CORE.0.P.B	ZNF189
ZN189.H13CORE.1.P.B	ZNF189
ZN197.H13CORE.0.P.C	ZNF197
ZN205.H13CORE.0.P.C	ZNF205
ZN213.H13CORE.0.P.C	ZNF213
ZN214.H13CORE.0.P.B	ZNF214
ZN222.H13CORE.0.P.C	ZNF222
ZN223.H13CORE.0.P.C	ZNF223
ZN224.H13CORE.0.P.B	ZNF224
ZN239.H13CORE.0.P.C	ZNF239
ZN250.H13CORE.0.P.C	ZNF250
ZN250.H13CORE.1.M.C	ZNF250
ZN254.H13CORE.0.P.C	ZNF254
ZN257.H13CORE.0.P.B	ZNF257
ZN260.H13CORE.0.P.C	ZNF260
ZN263.H13CORE.0.PM.A	ZNF263
ZN263.H13CORE.1.P.B	ZNF263
ZN264.H13CORE.0.P.B	ZNF264
ZN266.H13CORE.0.P.B	ZNF266
ZN267.H13CORE.0.P.C	ZNF267
ZN273.H13CORE.0.P.C	ZNF273
ZN274.H13CORE.0.SM.B	ZNF274
ZN274.H13CORE.1.P.B	ZNF274
ZN274.H13CORE.2.P.B	ZNF274
ZN276.H13CORE.0.SM.B	ZNF276
ZN281.H13CORE.0.P.B	ZNF281
ZN281.H13CORE.1.SM.B	ZNF281
ZN282.H13CORE.0.P.B	ZNF282
ZN283.H13CORE.0.P.C	ZNF283
ZN284.H13CORE.0.P.C	ZNF284
ZN285.H13CORE.0.P.C	ZNF285
ZN302.H13CORE.0.P.B	ZNF302
ZN317.H13CORE.0.P.B	ZNF317
ZN317.H13CORE.1.P.B	ZNF317
ZN320.H13CORE.0.P.B	ZNF320
ZN320.H13CORE.1.P.B	ZNF320
ZN322.H13CORE.0.P.C	ZNF322
ZN329.H13CORE.0.P.C	ZNF329
ZN329.H13CORE.1.P.C	ZNF329
ZN331.H13CORE.0.P.B	ZNF331
ZN333.H13CORE.0.P.C	ZNF333
ZN337.H13CORE.0.P.C	ZNF337
ZN33B.H13CORE.0.P.C	ZNF33B
ZN343.H13CORE.0.PSM.A	ZNF343
ZN350.H13CORE.0.P.B	ZNF350
ZN362.H13CORE.0.P.C	ZNF362
ZN383.H13CORE.0.P.C	ZNF383
ZN384.H13CORE.0.PSM.A	ZNF384
ZN394.H13CORE.0.P.C	ZNF394
ZN410.H13CORE.0.SM.B	ZNF410
ZN416.H13CORE.0.P.C	ZNF416
ZN425.H13CORE.0.P.C	ZNF425
ZN429.H13CORE.0.P.C	ZNF429
ZN430.H13CORE.0.P.C	ZNF430
ZN431.H13CORE.0.P.C	ZNF431
ZN432.H13CORE.0.P.C	ZNF432
ZN433.H13CORE.0.P.C	ZNF433
ZN433.H13CORE.1.P.C	ZNF433
ZN436.H13CORE.0.P.C	ZNF436
ZN440.H13CORE.0.P.C	ZNF440
ZN441.H13CORE.0.P.C	ZNF441
ZN441.H13CORE.1.P.C	ZNF441
ZN443.H13CORE.0.P.C	ZNF443
ZN444.H13CORE.0.S.C	ZNF444
ZN449.H13CORE.0.P.B	ZNF449
ZN449.H13CORE.1.S.C	ZNF449
ZN454.H13CORE.0.P.B	ZNF454
ZN454.H13CORE.1.SM.B	ZNF454
ZN460.H13CORE.0.S.C	ZNF460
ZN468.H13CORE.0.P.C	ZNF468
ZN479.H13CORE.0.P.C	ZNF479
ZN480.H13CORE.0.P.C	ZNF480
ZN480.H13CORE.1.P.C	ZNF480
ZN483.H13CORE.0.P.C	ZNF483
ZN484.H13CORE.0.P.C	ZNF484
ZN485.H13CORE.0.P.C	ZNF485
ZN490.H13CORE.0.P.C	ZNF490
ZN492.H13CORE.0.P.C	ZNF492
ZN502.H13CORE.0.P.C	ZNF502
ZN506.H13CORE.0.P.C	ZNF506
ZN524.H13CORE.0.S.B	ZNF524
ZN527.H13CORE.0.P.C	ZNF527
ZN528.H13CORE.0.P.B	ZNF528
ZN529.H13CORE.0.P.B	ZNF529
ZN530.H13CORE.0.P.B	ZNF530
ZN534.H13CORE.0.P.C	ZNF534
ZN534.H13CORE.1.P.C	ZNF534
ZN540.H13CORE.0.P.C	ZNF540
ZN543.H13CORE.0.P.C	ZNF543
ZN547.H13CORE.0.P.B	ZNF547
ZN548.H13CORE.0.P.B	ZNF548
ZN549.H13CORE.0.P.B	ZNF549
ZN550.H13CORE.0.P.C	ZNF550
ZN554.H13CORE.0.P.C	ZNF554
ZN554.H13CORE.1.P.C	ZNF554
ZN557.H13CORE.0.P.C	ZNF557
ZN558.H13CORE.0.P.B	ZNF558
ZN560.H13CORE.0.P.C	ZNF560
ZN561.H13CORE.0.P.C	ZNF561
ZN562.H13CORE.0.P.C	ZNF562
ZN563.H13CORE.0.P.C	ZNF563
ZN563.H13CORE.1.P.C	ZNF563
ZN564.H13CORE.0.P.C	ZNF564
ZN565.H13CORE.0.P.C	ZNF565
ZN566.H13CORE.0.P.C	ZNF566
ZN567.H13CORE.0.P.C	ZNF567
ZN570.H13CORE.0.P.C	ZNF570
ZN573.H13CORE.0.P.C	ZNF573
ZN577.H13CORE.0.P.B	ZNF577
ZN578.H13CORE.0.P.C	ZNF578
ZN582.H13CORE.0.P.C	ZNF582
ZN584.H13CORE.0.P.B	ZNF584
ZN584.H13CORE.1.P.C	ZNF584
ZN586.H13CORE.0.P.C	ZNF586
ZN595.H13CORE.0.P.C	ZNF595
ZN605.H13CORE.0.P.C	ZNF605
ZN610.H13CORE.0.P.B	ZNF610
ZN610.H13CORE.1.P.C	ZNF610
ZN611.H13CORE.0.P.C	ZNF611
ZN611.H13CORE.1.P.C	ZNF611
ZN613.H13CORE.0.P.C	ZNF613
ZN614.H13CORE.0.P.C	ZNF614
ZN615.H13CORE.0.P.C	ZNF615
ZN616.H13CORE.0.P.C	ZNF616
ZN621.H13CORE.0.P.C	ZNF621
ZN623.H13CORE.0.P.C	ZNF623
ZN626.H13CORE.0.P.C	ZNF626
ZN627.H13CORE.0.P.C	ZNF627
ZN649.H13CORE.0.P.C	ZNF649
ZN652.H13CORE.0.PS.A	ZNF652
ZN660.H13CORE.0.SM.B	ZNF660
ZN662.H13CORE.0.P.C	ZNF662
ZN664.H13CORE.0.P.C	ZNF664
ZN664.H13CORE.1.P.C	ZNF664
ZN667.H13CORE.0.P.C	ZNF667
ZN667.H13CORE.1.P.C	ZNF667
ZN669.H13CORE.0.P.B	ZNF669
ZN669.H13CORE.1.P.C	ZNF669
ZN675.H13CORE.0.P.C	ZNF675
ZN677.H13CORE.0.P.C	ZNF677
ZN680.H13CORE.0.P.B	ZNF680
ZN681.H13CORE.0.P.C	ZNF681
ZN682.H13CORE.0.P.B	ZNF682
ZN682.H13CORE.1.P.B	ZNF682
ZN684.H13CORE.0.P.C	ZNF684
ZN684.H13CORE.1.M.C	ZNF684
ZN692.H13CORE.0.P.C	ZNF692
ZN701.H13CORE.0.P.B	ZNF701
ZN701.H13CORE.1.P.B	ZNF701
ZN707.H13CORE.0.P.B	ZNF707
ZN708.H13CORE.0.P.B	ZNF708
ZN708.H13CORE.1.P.B	ZNF708
ZN713.H13CORE.0.SM.B	ZNF713
ZN714.H13CORE.0.P.C	ZNF714
ZN716.H13CORE.0.P.C	ZNF716
ZN716.H13CORE.1.P.C	ZNF716
ZN730.H13CORE.0.P.C	ZNF730
ZN736.H13CORE.0.P.C	ZNF736
ZN749.H13CORE.0.P.C	ZNF749
ZN749.H13CORE.1.P.C	ZNF749
ZN75A.H13CORE.0.SM.B	ZNF75A
ZN75D.H13CORE.0.P.B	ZNF75D
ZN75D.H13CORE.1.P.B	ZNF75D
ZN765.H13CORE.0.P.C	ZNF765
ZN766.H13CORE.0.P.B	ZNF766
ZN766.H13CORE.1.P.B	ZNF766
ZN768.H13CORE.0.P.B	ZNF768
ZN768.H13CORE.1.P.B	ZNF768
ZN771.H13CORE.0.SM.B	ZNF771
ZN776.H13CORE.0.P.C	ZNF776
ZN782.H13CORE.0.P.C	ZNF782
ZN789.H13CORE.0.P.C	ZNF789
ZN790.H13CORE.0.P.C	ZNF790
ZN790.H13CORE.1.P.C	ZNF790
ZN791.H13CORE.0.P.C	ZNF791
ZN793.H13CORE.0.P.B	ZNF793
ZN793.H13CORE.1.P.C	ZNF793
ZN799.H13CORE.0.P.C	ZNF799
ZN805.H13CORE.0.P.C	ZNF805
ZN816.H13CORE.0.P.B	ZNF816
ZN816.H13CORE.1.P.C	ZNF816
ZN823.H13CORE.0.P.C	ZNF823
ZN860.H13CORE.0.P.C	ZNF860
ZN875.H13CORE.0.P.C	ZNF875
ZN879.H13CORE.0.P.C	ZNF879
ZN880.H13CORE.0.P.C	ZNF880
ZN891.H13CORE.0.P.C	ZNF891
ZNF10.H13CORE.0.P.C	ZNF10
ZNF107.H13CORE.0.PSGI.A	ZNF107
ZNF12.H13CORE.0.P.C	ZNF12
ZNF12.H13CORE.1.M.C	ZNF12
ZNF12.H13CORE.2.S.C	ZNF12
ZNF131.H13CORE.0.PSGI.A	ZNF131
ZNF14.H13CORE.0.P.C	ZNF14
ZNF16.H13CORE.0.P.C	ZNF16
ZNF160.H13CORE.0.SG.A	ZNF160
ZNF18.H13CORE.0.P.B	ZNF18
ZNF20.H13CORE.0.PSG.A	ZNF20
ZNF208.H13CORE.0.SGI.A	ZNF208
ZNF215.H13CORE.0.PSG.A	ZNF215
ZNF226.H13CORE.0.PSGI.A	ZNF226
ZNF229.H13CORE.0.SG.A	ZNF229
ZNF23.H13CORE.0.P.C	ZNF23
ZNF233.H13CORE.0.PG.A	ZNF233
ZNF234.H13CORE.0.PSG.A	ZNF234
ZNF24.H13CORE.0.P.B	ZNF24
ZNF26.H13CORE.0.P.B	ZNF26
ZNF26.H13CORE.1.P.B	ZNF26
ZNF275.H13CORE.0.SG.A	ZNF275
ZNF28.H13CORE.0.P.C	ZNF28
ZNF286B.H13CORE.0.PSG.A	ZNF286B
ZNF3.H13CORE.0.P.B	ZNF3
ZNF30.H13CORE.0.P.C	ZNF30
ZNF32.H13CORE.0.SM.B	ZNF32
ZNF34.H13CORE.0.P.C	ZNF34
ZNF347.H13CORE.0.PSGI.A	ZNF347
ZNF35.H13CORE.0.P.C	ZNF35
ZNF35.H13CORE.1.P.C	ZNF35
ZNF358.H13CORE.0.SG.A	ZNF358
ZNF362.H13CORE.0.PSGI.A	ZNF362
ZNF41.H13CORE.0.P.C	ZNF41
ZNF41.H13CORE.1.P.C	ZNF41
ZNF43.H13CORE.0.PSGI.A	ZNF43
ZNF44.H13CORE.0.P.C	ZNF44
ZNF470.H13CORE.0.PSG.A	ZNF470
ZNF471.H13CORE.0.PSG.A	ZNF471
ZNF493.H13CORE.0.PSGI.A	ZNF493
ZNF497.H13CORE.0.SG.A	ZNF497
ZNF500.H13CORE.0.PSGI.A	ZNF500
ZNF551.H13CORE.0.PSG.A	ZNF551
ZNF568.H13CORE.0.SG.A	ZNF568
ZNF569.H13CORE.0.SG.A	ZNF569
ZNF57.H13CORE.0.PSG.A	ZNF57
ZNF575.H13CORE.0.PSG.A	ZNF575
ZNF623.H13CORE.0.PG.A	ZNF623
ZNF648.H13CORE.0.PSGI.A	ZNF648
ZNF66.H13CORE.0.PG.A	ZNF66
ZNF665.H13CORE.0.PSG.A	ZNF665
ZNF672.H13CORE.0.PSG.A	ZNF672
ZNF676.H13CORE.0.PSG.A	ZNF676
ZNF678.H13CORE.0.PSG.A	ZNF678
ZNF683.H13CORE.0.PSG.A	ZNF683
ZNF689.H13CORE.0.PSG.A	ZNF689
ZNF696.H13CORE.0.PSG.A	ZNF696
ZNF699.H13CORE.0.PSG.A	ZNF699
ZNF7.H13CORE.0.P.B	ZNF7
ZNF70.H13CORE.0.PSG.A	ZNF70
ZNF700.H13CORE.0.PSG.A	ZNF700
ZNF705EP.H13CORE.0.P.B	ZNF705EP
ZNF709.H13CORE.0.P.C	ZNF709
ZNF721.H13CORE.0.PSG.A	ZNF721
ZNF724.H13CORE.0.PSG.A	ZNF724
ZNF726.H13CORE.0.PSGI.A	ZNF726
ZNF728.H13CORE.0.PSG.A	ZNF728
ZNF729.H13CORE.0.SG.A	ZNF729
ZNF732.H13CORE.0.PSG.A	ZNF732
ZNF74.H13CORE.0.P.C	ZNF74
ZNF746.H13CORE.0.PSG.A	ZNF746
ZNF76.H13CORE.0.P.B	ZNF76
ZNF76.H13CORE.1.SM.B	ZNF76
ZNF77.H13CORE.0.P.C	ZNF77
ZNF773.H13CORE.0.PG.A	ZNF773
ZNF780B.H13CORE.0.PSGI.A	ZNF780B
ZNF79.H13CORE.0.P.C	ZNF79
ZNF81.H13CORE.0.P.C	ZNF81
ZNF813.H13CORE.0.SG.A	ZNF813
ZNF83.H13CORE.0.G.C	ZNF83
ZNF836.H13CORE.0.PSG.A	ZNF836
ZNF841.H13CORE.0.PSGI.A	ZNF841
ZNF845.H13CORE.0.PSG.A	ZNF845
ZNF85.H13CORE.0.P.B	ZNF85
ZNF85.H13CORE.1.P.B	ZNF85
ZNF850.H13CORE.0.PSG.A	ZNF850
ZNF853.H13CORE.0.SG.A	ZNF853
ZNF865.H13CORE.0.PSG.A	ZNF865
ZNF878.H13CORE.0.PS.A	ZNF878
ZNF888.H13CORE.0.P.B	ZNF888
ZNF90.H13CORE.0.P.C	ZNF90
ZNF92.H13CORE.0.P.B	ZNF92
ZSA5A.H13CORE.0.SM.B	ZSCAN5A
ZSA5C.H13CORE.0.P.C	ZSCAN5C
ZSC16.H13CORE.0.PSM.A	ZSCAN16
ZSC21.H13CORE.0.P.C	ZSCAN21
ZSC22.H13CORE.0.P.C	ZSCAN22
ZSC23.H13CORE.0.M.C	ZSCAN23
ZSC29.H13CORE.0.P.B	ZSCAN29
ZSC29.H13CORE.1.M.C	ZSCAN29
ZSC31.H13CORE.0.P.C	ZSCAN31
ZSC31.H13CORE.1.SM.B	ZSCAN31
ZSCA4.H13CORE.0.SM.B	ZSCAN4
ZSCAN12.H13CORE.0.P.B	ZSCAN12
ZSCAN2.H13CORE.0.PG.A	ZSCAN2
ZSCAN25.H13CORE.0.PSG.A	ZSCAN25
ZXDA.H13CORE.0.PSI.A	ZXDA
ZXDB.H13CORE.0.PI.A	ZXDB
ZXDC.H13CORE.0.PI.A	ZXDC
CASZ1.H13CORE.0.SGI.A	CASZ1
E4F1.H13CORE.0.P.B	E4F1
FIZ1.H13CORE.0.PSGI.A	FIZ1
FLYWCH1.H13CORE.0.PSGB.A	FLYWCH1
HIC1.H13CORE.0.PSM.A	HIC1
HIC2.H13CORE.0.P.B	HIC2
HINFP.H13CORE.0.P.B	HINFP
HINFP.H13CORE.1.P.B	HINFP
HINFP.H13CORE.2.S.B	HINFP
MAZ.H13CORE.0.P.B	MAZ
MAZ.H13CORE.1.P.B	MAZ
PATZ1.H13CORE.0.P.B	PATZ1
PATZ1.H13CORE.1.P.C	PATZ1
PRD13.H13CORE.0.P.B	PRDM13
PRD15.H13CORE.0.P.B	PRDM15
PRD16.H13CORE.0.P.B	PRDM16
PRDM10.H13CORE.0.PSGI.A	PRDM10
PRDM13.H13CORE.0.PSGI.A	PRDM13
PRDM4.H13CORE.0.PSM.A	PRDM4
PRDM9.H13CORE.0.P.B	PRDM9
REST.H13CORE.0.P.B	REST
RLF.H13CORE.0.PSGI.A	RLF
SALL1.H13CORE.0.P.C	SALL1
SALL3.H13CORE.0.PSG.A	SALL3
SALL4.H13CORE.0.P.B	SALL4
VEZF1.H13CORE.0.P.C	VEZF1
VEZF1.H13CORE.1.P.B	VEZF1
ZBT17.H13CORE.0.P.B	ZBTB17
ZBTB2.H13CORE.0.SM.B	ZBTB2
ZBTB41.H13CORE.0.PSG.A	ZBTB41
ZFAT.H13CORE.0.PSGI.A	ZFAT
ZFP57.H13CORE.0.P.B	ZFP57
ZKSC5.H13CORE.0.P.C	ZKSCAN5
ZN101.H13CORE.0.P.C	ZNF101
ZN112.H13CORE.0.P.C	ZNF112
ZN132.H13CORE.0.P.C	ZNF132
ZN134.H13CORE.0.P.C	ZNF134
ZN134.H13CORE.1.P.C	ZNF134
ZN211.H13CORE.0.P.B	ZNF211
ZN211.H13CORE.1.P.C	ZNF211
ZN248.H13CORE.0.P.B	ZNF248
ZN251.H13CORE.0.P.C	ZNF251
ZN296.H13CORE.0.S.C	ZNF296
ZN304.H13CORE.0.P.C	ZNF304
ZN316.H13CORE.0.P.C	ZNF316
ZN335.H13CORE.0.P.B	ZNF335
ZN335.H13CORE.1.P.D	ZNF335
ZN341.H13CORE.0.P.B	ZNF341
ZN341.H13CORE.1.P.B	ZNF341
ZN37A.H13CORE.0.P.B	ZNF37A
ZN382.H13CORE.0.P.B	ZNF382
ZN407.H13CORE.0.P.B	ZNF407
ZN417.H13CORE.0.P.C	ZNF417
ZN418.H13CORE.0.P.B	ZNF418
ZN423.H13CORE.0.P.C	ZNF423
ZN467.H13CORE.0.P.C	ZNF467
ZN510.H13CORE.0.P.C	ZNF510
ZN510.H13CORE.1.P.C	ZNF510
ZN519.H13CORE.0.P.C	ZNF519
ZN574.H13CORE.0.P.B	ZNF574
ZN587.H13CORE.0.P.C	ZNF587
ZN671.H13CORE.0.P.C	ZNF671
ZN674.H13CORE.0.P.C	ZNF674
ZN711.H13CORE.0.P.C	ZNF711
ZN770.H13CORE.0.P.B	ZNF770
ZN770.H13CORE.1.P.B	ZNF770
ZN778.H13CORE.0.P.C	ZNF778
ZN778.H13CORE.1.P.B	ZNF778
ZN784.H13CORE.0.SM.B	ZNF784
ZN787.H13CORE.0.M.C	ZNF787
ZN787.H13CORE.1.S.C	ZNF787
ZNF142.H13CORE.0.PSGI.A	ZNF142
ZNF251.H13CORE.0.PSGI.A	ZNF251
ZNF292.H13CORE.0.PSG.A	ZNF292
ZNF335.H13CORE.0.PSG.A	ZNF335
ZNF407.H13CORE.0.PSGI.A	ZNF407
ZNF48.H13CORE.0.PSG.A	ZNF48
ZNF507.H13CORE.0.I.B	ZNF507
ZNF510.H13CORE.0.PSG.A	ZNF510
ZNF516.H13CORE.0.S.C	ZNF516
ZNF518B.H13CORE.0.PSG.A	ZNF518B
ZNF526.H13CORE.0.S.C	ZNF526
ZNF532.H13CORE.0.SG.A	ZNF532
ZNF536.H13CORE.0.SGI.A	ZNF536
ZNF587B.H13CORE.0.SG.A	ZNF587B
ZNF606.H13CORE.0.PSG.A	ZNF606
ZNF618.H13CORE.0.G.B	ZNF618
ZNF646.H13CORE.0.PSG.A	ZNF646
ZNF668.H13CORE.0.SG.A	ZNF668
ZNF772.H13CORE.0.PG.A	ZNF772
ZNF775.H13CORE.0.PSG.A	ZNF775
ZNF788P.H13CORE.0.S.C	ZNF788P
ZNF8.H13CORE.0.P.C	ZNF8
ZNF8.H13CORE.1.P.B	ZNF8
ZNF800.H13CORE.0.PSG.A	ZNF800
ZNF814.H13CORE.0.PSG.A	ZNF814
ZNF827.H13CORE.0.SG.A	ZNF827
DMTF1.H13CORE.0.PSGIB.A	DMTF1
MSANTD1.H13CORE.0.PSGIB.A	MSANTD1
MSANTD4.H13CORE.0.SGIB.A	MSANTD4
MYB.H13CORE.0.P.B	MYB
MYBA.H13CORE.0.P.B	MYBL1
MYBA.H13CORE.1.PS.A	MYBL1
MYBA.H13CORE.2.S.B	MYBL1
MYBB.H13CORE.0.S.B	MYBL2
MYBB.H13CORE.1.S.B	MYBL2
MYPOP.H13CORE.0.PSGB.A	MYPOP
MYSM1.H13CORE.0.P.B	MYSM1
TERF1.H13CORE.0.PSGB.A	TERF1
TTF1.H13CORE.0.PSG.A	TTF1
ASCL1.H13CORE.0.PSM.A	ASCL1
ASCL2.H13CORE.0.PSM.A	ASCL2
MYF5.H13CORE.0.P.B	MYF5
MYF6.H13CORE.0.SM.B	MYF6
MYOD1.H13CORE.0.P.B	MYOD1
MYOD1.H13CORE.1.PSM.A	MYOD1
MYOG.H13CORE.0.PSM.A	MYOG
MYRFL.H13CORE.0.P.C	MYRFL
MYT1.H13CORE.0.SG.A	MYT1
MYT1L.H13CORE.0.P.C	MYT1L
NFIA.H13CORE.0.P.B	NFIA
NFIA.H13CORE.1.PS.A	NFIA
NFIB.H13CORE.0.PSM.A	NFIB
NFIB.H13CORE.1.PS.A	NFIB
NFIC.H13CORE.0.PSM.A	NFIC
NFIC.H13CORE.1.PSM.A	NFIC
NFIX.H13CORE.0.SM.B	NFIX
NFIX.H13CORE.1.S.B	NFIX
NFAC1.H13CORE.0.P.B	NFATC1
NFAC1.H13CORE.1.PS.A	NFATC1
NFAC1.H13CORE.2.SM.B	NFATC1
NFAC1.H13CORE.3.SM.B	NFATC1
NFAC2.H13CORE.0.P.B	NFATC2
NFAC2.H13CORE.1.PS.A	NFATC2
NFAC2.H13CORE.2.S.C	NFATC2
NFAC2.H13CORE.3.M.C	NFATC2
NFAC2.H13CORE.4.M.B	NFATC2
NFAC3.H13CORE.0.SM.B	NFATC3
NFAC3.H13CORE.1.P.C	NFATC3
NFAC4.H13CORE.0.P.C	NFATC4
NFAC4.H13CORE.1.SM.B	NFATC4
NFAT5.H13CORE.0.SM.B	NFAT5
NFAT5.H13CORE.1.PS.A	NFAT5
NFKB1.H13CORE.0.PS.A	NFKB1
NFKB2.H13CORE.0.PSM.A	NFKB2
REL.H13CORE.0.P.B	REL
RELB.H13CORE.0.P.B	RELB
TF65.H13CORE.0.P.B	RELA
NR4A1.H13CORE.0.PSM.A	NR4A1
NR4A2.H13CORE.0.SM.B	NR4A2
BARH1.H13CORE.0.SM.B	BARHL1
BARH1.H13CORE.1.S.B	BARHL1
BARH2.H13CORE.0.SM.B	BARHL2
BARH2.H13CORE.1.S.B	BARHL2
BARH2.H13CORE.2.S.C	BARHL2
BARX1.H13CORE.0.P.C	BARX1
BARX1.H13CORE.1.S.B	BARX1
BARX2.H13CORE.0.SM.B	BARX2
BSH.H13CORE.0.SM.B	BSX
DLX1.H13CORE.0.S.B	DLX1
DLX1.H13CORE.1.PSM.A	DLX1
DLX2.H13CORE.0.PSM.A	DLX2
DLX2.H13CORE.1.S.B	DLX2
DLX3.H13CORE.0.SM.B	DLX3
DLX3.H13CORE.1.S.B	DLX3
DLX4.H13CORE.0.SM.B	DLX4
DLX4.H13CORE.1.S.C	DLX4
DLX5.H13CORE.0.PSM.A	DLX5
DLX6.H13CORE.0.SM.B	DLX6
EMX1.H13CORE.0.SM.B	EMX1
EMX2.H13CORE.0.S.B	EMX2
HME1.H13CORE.0.PSM.A	EN1
HME2.H13CORE.0.SM.B	EN2
HMX1.H13CORE.0.SM.B	HMX1
HMX2.H13CORE.0.SM.B	HMX2
HMX3.H13CORE.0.S.B	HMX3
LBX2.H13CORE.0.S.B	LBX2
LBX2.H13CORE.1.S.B	LBX2
LBX2.H13CORE.2.M.C	LBX2
MSX1.H13CORE.0.SM.B	MSX1
MSX1.H13CORE.1.S.C	MSX1
MSX2.H13CORE.0.SM.B	MSX2
MSX2.H13CORE.1.SM.B	MSX2
NANOG.H13CORE.0.P.B	NANOG
NANOG.H13CORE.1.P.B	NANOG
NANOG.H13CORE.2.M.C	NANOG
NKX21.H13CORE.0.P.B	NKX2-1
NKX22.H13CORE.0.P.B	NKX2-2
NKX23.H13CORE.0.SM.B	NKX2-3
NKX25.H13CORE.0.PSM.A	NKX2-5
NKX25.H13CORE.1.P.B	NKX2-5
NKX28.H13CORE.0.SM.B	NKX2-8
NKX31.H13CORE.0.PSM.A	NKX3-1
NKX32.H13CORE.0.PSM.A	NKX3-2
NKX32.H13CORE.1.S.B	NKX3-2
NKX61.H13CORE.0.PS.A	NKX6-1
NKX61.H13CORE.1.P.B	NKX6-1
NKX61.H13CORE.2.S.B	NKX6-1
NKX62.H13CORE.0.SM.B	NKX6-2
NKX63.H13CORE.0.SM.B	NKX6-3
NOTO.H13CORE.0.SM.B	NOTO
TLX2.H13CORE.0.SM.B	TLX2
TLX3.H13CORE.0.SM.B	TLX3
VAX1.H13CORE.0.SM.B	VAX1
VAX2.H13CORE.0.SM.B	VAX2
VENTX.H13CORE.0.SM.B	VENTX
VENTX.H13CORE.1.S.C	VENTX
NRF1.H13CORE.0.PS.A	NRF1
CPXCR1.H13CORE.0.P.C	CPXCR1
KAISO.H13CORE.0.P.B	ZBTB33
KAISO.H13CORE.1.P.B	ZBTB33
OSR1.H13CORE.0.SM.B	OSR1
SLC2A4RG.H13CORE.0.PSG.A	SLC2A4RG
ZBT22.H13CORE.0.SM.B	ZBTB22
ZBT37.H13CORE.0.M.C	ZBTB37
ZBT43.H13CORE.0.S.C	ZBTB43
ZBTB5.H13CORE.0.SGI.A	ZBTB5
ZBTB8A.H13CORE.0.PSGI.A	ZBTB8A
ZBTB8B.H13CORE.0.PSGI.A	ZBTB8B
ZN174.H13CORE.0.M.C	ZNF174
ZN580.H13CORE.0.SM.B	ZNF580
ZN580.H13CORE.1.SM.B	ZNF580
ZN740.H13CORE.0.P.C	ZNF740
ZN740.H13CORE.1.S.C	ZNF740
ZNF367.H13CORE.0.PSGI.A	ZNF367
ZNF395.H13CORE.0.PSGI.A	ZNF395
ZNF503.H13CORE.0.P.B	ZNF503
ZNF703.H13CORE.0.P.C	ZNF703
ZNF831.H13CORE.0.PSGI.A	ZNF831
ZSCA1.H13CORE.0.SM.B	ZSCAN1
P53.H13CORE.0.P.B	TP53
P53.H13CORE.1.S.C	TP53
P63.H13CORE.0.PS.A	TP63
P63.H13CORE.1.PS.A	TP63
P73.H13CORE.0.PS.A	TP73
P73.H13CORE.1.P.B	TP73
ALX1.H13CORE.0.SM.B	ALX1
ALX3.H13CORE.0.SM.B	ALX3
ALX3.H13CORE.1.S.B	ALX3
ALX4.H13CORE.0.S.B	ALX4
ALX4.H13CORE.1.SM.B	ALX4
ARGFX.H13CORE.0.SM.B	ARGFX
ARX.H13CORE.0.S.B	ARX
ARX.H13CORE.1.SM.B	ARX
CRX.H13CORE.0.PSM.A	CRX
DMBX1.H13CORE.0.SM.B	DMBX1
DPRX.H13CORE.0.SM.B	DPRX
DRGX.H13CORE.0.S.B	DRGX
DRGX.H13CORE.1.SM.B	DRGX
DUX4.H13CORE.0.P.B	DUX4
DUXA.H13CORE.0.SM.B	DUXA
ESX1.H13CORE.0.SM.B	ESX1
ESX1.H13CORE.1.S.B	ESX1
GSC.H13CORE.0.SM.B	GSC
GSC2.H13CORE.0.SM.B	GSC2
HESX1.H13CORE.0.SM.B	HESX1
HESX1.H13CORE.1.S.B	HESX1
ISX.H13CORE.0.SM.B	ISX
ISX.H13CORE.1.S.B	ISX
ISX.H13CORE.2.SM.B	ISX
LEUTX.H13CORE.0.PSGB.A	LEUTX
MIXL1.H13CORE.0.SM.B	MIXL1
MIXL1.H13CORE.1.S.B	MIXL1
OTX1.H13CORE.0.SM.B	OTX1
OTX1.H13CORE.1.S.B	OTX1
OTX2.H13CORE.0.PSM.A	OTX2
PHX2A.H13CORE.0.PS.A	PHOX2A
PHX2A.H13CORE.1.SM.B	PHOX2A
PHX2B.H13CORE.0.PSM.A	PHOX2B
PHX2B.H13CORE.1.SM.B	PHOX2B
PITX1.H13CORE.0.PSM.A	PITX1
PITX1.H13CORE.1.S.B	PITX1
PITX2.H13CORE.0.SM.B	PITX2
PITX3.H13CORE.0.SM.B	PITX3
PITX3.H13CORE.1.S.B	PITX3
PROP1.H13CORE.0.PSM.A	PROP1
PROP1.H13CORE.1.P.C	PROP1
PRRX1.H13CORE.0.S.B	PRRX1
PRRX1.H13CORE.1.S.B	PRRX1
PRRX2.H13CORE.0.SM.B	PRRX2
PRRX2.H13CORE.1.S.B	PRRX2
RAX2.H13CORE.0.S.B	RAX2
RHXF1.H13CORE.0.SM.B	RHOXF1
RHXF2.H13CORE.0.SM.B	RHOXF2
RX.H13CORE.0.SM.B	RAX
SHOX.H13CORE.0.SM.B	SHOX
SHOX.H13CORE.1.S.B	SHOX
SHOX2.H13CORE.0.S.B	SHOX2
