motif	cluster	gene_symbol	sub_cluster	sub_cluster_name
ZBTB11_MA2329.1	C_ETS1	ZBTB11	#N/A	#N/A
ZBTB12_MA1649.2	C_ZBTB12	ZBTB12	16A	C_ZBTB
ZBTB14_MA1650.2	C_ZBTB14	ZBTB14	67A	C_NRF1;TCFL5;ZBTB14
ZBTB17_MA2102.1	C_ZBTB17	ZBTB17	#N/A	#N/A
ZBTB18_MA0698.2	C_ZBTB18	ZBTB18	6A	C_ASCL;MYOD1
Zbtb2_MA2340.1	C_ETS1	ZBTB2	#N/A	#N/A
ZBTB24_MA2330.1	C_ZBTB24	ZBTB24	#N/A	#N/A
ZBTB26_MA1579.2	C_ZBTB26	ZBTB26	16A	C_ZBTB
ZBTB32_MA1580.1	C_ZBTB32	ZBTB32	124A	C_ZBTB32
ZBTB33_MA0527.2	C_ZBTB33	ZBTB33	69A	C_ZBED1;ZBTB33
ZBTB6_MA1581.2	C_ZBTB6	ZBTB6	83A	C_ZBTB6
ZBTB7A_MA0750.3	C_ETS1	ZBTB7A	9A	C_ELF;ETS;ELK
ZBTB7B_MA0694.2	C_ZBTB7B	ZBTB7B	36A	C_GLI1
ZBTB7C_MA0695.2	C_ZBTB7B	ZBTB7C	36A	C_GLI1
ZEB1_MA0103.4	C_TCF3	ZEB1	6A	C_ASCL;MYOD1
ZFP14_MA1972.1	C_ZFP14	ZFP14	80A	C_ZFP14
Zfp335_MA2002.2	C_Zfp335	ZFP335	64A	C_HAND1;TCF3;SMAD2
ZFP42_MA1651.2	C_ZFP42	ZFP42	84B	C_YY1;ZFP42
ZFP57_MA1583.2	C_ZFP57	ZFP57	102A	C_ZFP57
Zfp809_MA2125.1	C_Zfp809	ZFP809	#N/A	#N/A
Zfp961_MA2126.1	C_Zfp961	ZFP961	#N/A	#N/A
Zfx_MA0146.3	C_Zfx	ZFX	79A	C_ZFX
ZIC1_MA0696.1	C_ZIC1	ZIC1	46A	C_ZIC1;GLI;GLIS1-3
Zic1Zic2_MA1628.2	C_Zic2	ZIC1::ZIC2	56A	C_ZIC2;OSR
Zic2_MA1629.2	C_Zic2	ZIC2	56A	C_ZIC2;OSR
Zic3_MA0697.3	C_Zic2	ZIC3	56A	C_ZIC2;OSR
ZIC4_MA0751.2	C_ZIC1	ZIC4	46A	C_ZIC1;GLI;GLIS1-3
ZIC5_MA1584.2	C_ZIC1	ZIC5	46A	C_ZIC1;GLI;GLIS1-3
ZIM3_MA1709.2	C_ZIM3	ZIM3	42A	C_IRF;STAT1-2
ZKSCAN1_MA1585.2	C_ZKSCAN1	ZKSCAN1	66A	C_ZKSCAN1;ZNF784
ZKSCAN3_MA1973.2	C_ZKSCAN3	ZKSCAN3	137A	C_ZKSCAN3
ZKSCAN5_MA1652.2	C_ZKSCAN5	ZKSCAN5	74A	C_ZKSCAN5
ZNF135_MA1587.1	C_ZNF135	ZNF135	65A	C_ZNF135;ZNF146
ZNF136_MA1588.1	C_ZNF136	ZNF136	72A	C_ZNF136
ZNF140_MA1589.2	C_ZNF140	ZNF140	111A	C_ZNF140
ZNF143_MA0088.2	C_ZNF143	ZNF143	63A	C_ZNF76
ZNF148_MA1653.2	C_PATZ1	ZNF148	27A	C_EGR1;KLF;SP;ZNF
ZNF157_MA2331.1	C_ZNF157	ZNF157	#N/A	#N/A
ZNF16_MA1654.2	C_ZNF16	ZNF16	71A	C_ZNF16
ZNF175_MA2332.1	C_GABPA	ZNF175	#N/A	#N/A
ZNF184_MA2120.1	C_ZNF184	ZNF184	#N/A	#N/A
ZNF189_MA1725.2	C_ZNF189	ZNF189	57A	C_ZNF
ZNF211_MA1974.2	C_ZNF211	ZNF211	70A	C_ZNF211
ZNF213_MA2121.1	C_ZNF213	ZNF213	#N/A	#N/A
ZNF214_MA1975.2	C_ZNF214	ZNF214	118A	C_ZNF214
ZNF24_MA1124.1	C_ZNF24	ZNF24	90B	C_ZNF24
ZNF257_MA1710.2	C_ZNF257	ZNF257	74B	C_ZNF257
ZNF263_MA0528.3	C_SP5	ZNF263	27A	C_EGR1;KLF;SP;ZNF
ZNF274_MA1592.2	C_ZNF274	ZNF274	114A	C_ZNF274
ZNF281_MA1630.3	C_PATZ1	ZNF281	27A	C_EGR1;KLF;SP;ZNF
ZNF282_MA1154.2	C_ZNF282	ZNF282	89A	C_ZNF282
ZNF317_MA1593.2	C_ZNF317	ZNF317	56A	C_ZIC2;OSR
ZNF320_MA1976.2	C_ZNF320	ZNF320	78A	C_PRDM9;ZNF320
ZNF324_MA1977.2	C_ZNF324	ZNF324	71B	C_ZNF324
ZNF331_MA1726.2	C_ZNF331	ZNF331	98A	C_ZNF331
ZNF341_MA1655.2	C_ZNF341	ZNF341	57A	C_ZNF
ZNF343_MA1711.2	C_ZNF343	ZNF343	126A	C_ZNF343
ZNF35_MA2333.1	C_ZNF35	ZNF35	#N/A	#N/A
ZNF354A_MA1978.2	C_ZNF354A	ZNF354A	95B	C_ZNF354A
ZNF354C_MA0130.1	C_ZNF354C	ZNF354C	131A	C_ZNF354C
ZNF382_MA1594.1	C_ZNF382	ZNF382	121A	C_THAP11;ZNF382
ZNF384_MA1125.2	C_ZNF384	ZNF384	45A	C_HOXA10;HOXB13
ZNF410_MA0752.2	C_ZNF410	ZNF410	88A	C_ZNF410
ZNF416_MA1979.2	C_ZNF416	ZNF416	49A	C_NFIA;HIC
ZNF417_MA1727.2	C_ZNF417	ZNF417	53A	C_E2F1-8
ZNF418_MA1980.1	C_ZNF418	ZNF418	129A	C_ZNF418
Znf423_MA0116.1	C_Znf423	ZNF423	7A	C_EBF;TFAP2
ZNF449_MA1656.2	C_ZNF449	ZNF449	92A	C_ZNF449
ZNF454_MA1712.2	C_ZNF454	ZNF454	123A	C_ZNF454
ZNF460_MA1596.1	C_ZNF460	ZNF460	65A	C_ZNF135;ZNF146
ZNF524_MA2096.1	C_ZNF524	ZNF524	#N/A	#N/A
ZNF528_MA1597.1	C_ZNF528	ZNF528	103A	C_ZNF528
ZNF530_MA1981.2	C_ZNF530	ZNF530	99A	C_ZNF530
ZNF547_MA2334.1	C_ZNF547	ZNF547	#N/A	#N/A
ZNF549_MA1728.2	C_ZNF549	ZNF549	86A	C_ZNF549
ZNF558_MA2335.1	C_ZNF558	ZNF558	#N/A	#N/A
ZNF574_MA1982.2	C_ZNF574	ZNF574	77A	C_ZNF574;ZNF610
ZNF582_MA1983.2	C_ZNF582	ZNF582	130A	C_ZNF582
ZNF610_MA1713.2	C_ZNF610	ZNF610	77A	C_ZNF574;ZNF610
ZNF652_MA1657.2	C_ZNF652	ZNF652	81A	C_HMBOX1;ZNF652
ZNF667_MA1984.2	C_ZNF667	ZNF667	122A	C_ZNF667
ZNF669_MA1985.1	C_ZNF669	ZNF669	14A	C_NR1H4;RXRA
ZNF675_MA1714.2	C_ZNF675	ZNF675	107A	C_ZNF675
ZNF677_MA2101.1	C_ZNF677	ZNF677	#N/A	#N/A
ZNF680_MA1729.2	C_ZNF680	ZNF680	73A	C_ZNF680
ZNF682_MA1599.2	C_ZNF682	ZNF682	32A	C_MZF1;NFKB1
ZNF684_MA1600.2	C_ZNF684	ZNF684	2C	C_ZNF684
ZNF692_MA1986.2	C_ZNF692	ZNF692	62A	C_INSM1;CTCFL
ZNF701_MA1987.2	C_ZNF701	ZNF701	100A	C_ZNF701
ZNF707_MA1715.1	C_ZNF707	ZNF707	128A	C_ZNF707
ZNF708_MA1730.2	C_ZNF708	ZNF708	57A	C_ZNF
ZNF740_MA0753.3	C_ZNF740	ZNF740	27A	C_EGR1;KLF;SP;ZNF
ZNF75A_MA2097.1	C_ZNF75A	ZNF75A	#N/A	#N/A
ZNF75D_MA1601.2	C_ZNF75D	ZNF75D	44A	C_NFATC
ZNF76_MA1716.2	C_ZNF143	ZNF76	63A	C_ZNF76
ZNF766_MA2098.1	C_ZNF766	ZNF766	#N/A	#N/A
ZNF768_MA1731.2	C_ZNF768	ZNF768	104A	C_ZNF768
ZNF770_MA2099.1	C_ZNF770	ZNF770	#N/A	#N/A
ZNF784_MA1717.2	C_ZNF784	ZNF784	66A	C_ZKSCAN1;ZNF784
ZNF8_MA1718.1	C_ZNF8	ZNF8	70B	C_ZNF8
ZNF816_MA1719.2	C_ZNF816	ZNF816	112A	C_ZNF816
ZNF85_MA1720.2	C_ZNF85	ZNF85	68A	C_DUX;ZNF85
ZNF93_MA1721.2	C_ZNF93	ZNF93	75B	C_ZNF93
ZSCAN16_MA2100.1	C_ZSCAN16	ZSCAN16	#N/A	#N/A
ZSCAN21_MA2336.1	C_ZSCAN21	ZSCAN21	#N/A	#N/A
ZSCAN29_MA1602.2	C_ZSCAN29	ZSCAN29	15A	C_SMAD
ZSCAN31_MA1722.2	C_ZSCAN31	ZSCAN31	133A	C_ZSCAN31
ZSCAN4_MA1155.1	C_ZSCAN4	ZSCAN4	132A	C_ZSCAN4
