motif	cluster	gene_symbol
ELK1HOXB13_MA1932.2	C_ELK1::HOXB13	Elk1::Hoxb13
ELK1SREBF2_MA1933.2	C_ELK1::SREBF2	Erf::Hoxb13
ELK3_MA0759.3	C_ETS1	Elk3
ELK4_MA0076.3	C_ETS1	Elk4
EMX1_MA0612.3	C_mix-a	Emx1
EMX2_MA0886.2	C_mix-a	Emx2
EN1_MA0027.3	C_mix-a	En1
EN2_MA0642.3	C_PRRX2	En2
EOMES_MA0800.2	C_TBX2	Eomes
EPAS1_MA2325.1	C_EPAS1	Epas1
ERF_MA0760.2	C_ETS1	Erf
ERFFIGLA_MA1934.2	C_ETV5::FIGLA	Erf::Figla
ERFFOXI1_MA1935.2	C_ETV2::FOXI1	Erf::Foxi1
ERFFOXO1_MA1936.2	C_FOXO1::ELK1	Erf::Foxo1
ERFHOXB13_MA1937.2	C_ERF::HOXB13	Erf::Hoxb13
ERFNHLH1_MA1938.2	C_ERF::NHLH1	Erf::Nhlh1
ERFSREBF2_MA1939.2	C_ERF::SREBF2	Erf::Srebf2
Erg_MA0474.4	C_GABPA	Erg
ESR1_MA0112.4	C_ESR2	Esr1
ESR2_MA0258.2	C_ESR2	Esr2
ESRRA_MA0592.4	C_Nr1h3	Esrra
ESRRB_MA0141.4	C_ESRRB	Esrrb
Esrrg_MA0643.2	C_Nr1h3	Esrrg
ESX1_MA0644.3	C_mix-a	Esx1
ETS1_MA0098.4	C_ETS1	Ets1
ETS2_MA1484.2	C_ETS1	Ets2
ETV1_MA0761.3	C_GABPA	Etv1
ETV2_MA0762.2	C_ETS1	Etv2
ETV2DRGX_MA1940.2	C_ETV5::DRGX	Etv2::Drgx
ETV2FIGLA_MA1941.2	C_ETV5::FIGLA	Etv2::Figla
ETV2FOXI1_MA1942.2	C_ETV2::FOXI1	Etv2::Foxi1
ETV2HOXB13_MA1943.2	C_ETV2::HOXB13	Etv2::Hoxb13
ETV3_MA0763.2	C_ETS1	Etv3
ETV4_MA0764.4	C_ETS1	Etv4
ETV5_MA0765.4	C_ETS1	Etv5
ETV5DRGX_MA1944.2	C_ETV5::DRGX	Etv5::Drgx
ETV5FIGLA_MA1945.2	C_ETV5::FIGLA	Etv5::Figla
ETV5FOXI1_MA1946.2	C_FOXO1::ELK1	Etv5::Foxi1
ETV5FOXO1_MA1947.2	C_ETV5::FOXO1	Etv5::Foxo1
ETV5HOXA2_MA1948.2	C_ETV5::HOXA2	Etv5::Hoxa2
ETV6_MA0645.2	C_GABPA	Etv6
ETV7_MA1708.2	C_GABPA	
EVX1_MA0887.2	C_mix-a	Evx1
EVX2_MA0888.2	C_mix-a	Evx2
EWSR1-FLI1_MA0149.1	C_EWSR1-FLI1	Ewsr1::Fli1
FERD3L_MA1485.1	C_FERD3L	Ferd3l
FEV_MA0156.4	C_ETS1	Fev
FEZF2_MA2341.1	C_FEZF2	Fezf2
FIGLA_MA0820.2	C_TCF3	Figla
FLI1_MA0475.3	C_ETS1	Fli1
FLI1DRGX_MA1949.2	C_FLI1::DRGX	Fli1::Drgx
FLI1FOXI1_MA1950.2	C_ETV2::FOXI1	Fli1::Foxi1
FOS_MA0476.2	C_FOS::JUND	Fos
FOS_MA1951.2	C_FOSL2::JUN	Fos
FOSBJUN_MA1127.1	C_FOSL2::JUN	Fosb::Jun
FOSBJUNB_MA1135.2	C_FOS::JUND	Fosb::Junb
FOSBJUNB_MA1136.1	C_FOSL2::JUN	Fosb::Junb
FOSJUN_MA0099.4	C_FOS::JUND	Fos::Jun
FOSJUN_MA1126.2	C_FOSL2::JUN	Fos::Jun
FOSJUNB_MA1134.2	C_FOS::JUND	Fos::Junb
FOSJUND_MA1141.2	C_FOS::JUND	Fos::Jund
FOSL1_MA0477.3	C_FOS::JUND	Fosl1
FOSL1JUN_MA1128.2	C_FOS::JUND	Fosl1::Jun
FOSL1JUN_MA1129.1	C_FOSL2::JUN	Fosl1::Jun
FOSL1JUNB_MA1137.2	C_FOS::JUND	Fosl1::Junb
FOSL1JUND_MA1142.2	C_FOS::JUND	Fosl1::Jund
FOSL1JUND_MA1143.2	C_FOSL1::JUND	Fosl1::Jund
FOSL2_MA0478.2	C_FOS::JUND	Fosl2
FOSL2JUN_MA1130.2	C_FOS::JUND	Fosl2::Jun
FOSL2JUN_MA1131.2	C_FOSL2::JUN	Fosl2::Jun
FOSL2JUNB_MA1138.2	C_FOS::JUND	Fosl2::Junb
FOSL2JUNB_MA1139.2	C_FOSL2::JUN	Fosl2::Junb
