motif	cluster	gene_symbol
NR3C2_MA0727.2	C_Pgr	Nr3c2
NR4A1_MA1112.3	C_NR4A2	Nr4a1
NR4A2_MA0160.3	C_NR4A2	Nr4a2
NR4A2RXRA_MA1147.2	C_NR1H4::RXRA	Nr4A2::Rxra
NR5A1_MA1540.3	C_ESRRB	Nr5a1
Nr5A2_MA0505.3	C_ESRRB	Nr5a2
NR6A1_MA1541.2	C_NR6A1	Nr6a1
Nrf1_MA0506.3	C_Nrf1	Nrf1
NRL_MA0842.3	C_MAFF	Nrl
OLIG1_MA0826.1	C_ATOH7	Olig1
OLIG2_MA0678.1	C_ATOH7	Olig2
Olig2_MA1997.2	C_Twist2	Olig2
OLIG3_MA0827.1	C_ATOH7	Olig3
ONECUT1_MA0679.3	C_ONECUT3	Onecut1
ONECUT2_MA0756.3	C_ONECUT3	Onecut2
ONECUT3_MA0757.2	C_ONECUT3	Onecut3
OSR1_MA1542.2	C_OSR1	Osr1
OSR2_MA1646.2	C_OSR2	Osr2
OTX1_MA0711.2	C_RHOXF1	Otx1
OTX2_MA0712.3	C_RHOXF1	Otx2
OVOL1_MA1544.2	C_OVOL1	Ovol1
OVOL2_MA1545.2	C_OVOL1	Ovol2
PATZ1_MA1961.2	C_PATZ1	Patz1
PAX1_MA0779.2	C_PAX9	Pax1
PAX2_MA0067.3	C_PAX9	Pax2
PAX3_MA0780.1	C_Pax7	Pax3
PAX3_MA1546.2	C_PAX3	Pax3
PAX4_MA0068.2	C_mix-a	Pax4
PAX5_MA0014.4	C_PAX5	Pax5
PAX6_MA0069.1	C_PAX6	Pax6
Pax7_MA0680.3	C_Pax7	Pax7
PAX8_MA2094.1	C_PAX9	Pax8
PAX9_MA0781.2	C_PAX9	Pax9
PBX1_MA0070.2	C_PBX1	Pbx1
PBX2_MA1113.3	C_PBX2	Pbx2
PBX3_MA1114.2	C_PBX3	Pbx3
PDX1_MA0132.3	C_mix-a	Pdx1
Pgr_MA2323.1	C_Pgr	Pgr
PGR_MA2327.1	C_PGR	Pgr
PHOX2A_MA0713.1	C_PHOX2A	Phox2a
PHOX2B_MA0681.3	C_PHOX2A	Phox2b
PITX1_MA0682.3	C_RHOXF1	Pitx1
PITX2_MA1547.2	C_RHOXF1	Pitx2
PITX3_MA0714.2	C_RHOXF1	Pitx3
PKNOX1_MA0782.3	C_PBX3	Pknox1
PKNOX2_MA0783.1	C_PKNOX2	Pknox2
PLAG1_MA0163.1	C_PLAG1	Plag1
Plagl1_MA1615.2	C_Plagl1	Plagl1
PLAGL2_MA1548.2	C_PLAGL2	Plagl2
POU1F1_MA0784.3	C_POU3F3	Pou1f1
POU2F1_MA0785.2	C_POU3F3	Pou2f1
POU2F1SOX2_MA1962.1	C_POU2F1::SOX2	Pou2f1::Sox2
POU2F2_MA0507.3	C_POU3F3	Pou2f2
POU2F3_MA0627.3	C_POU2F3	Pou2f3
POU3F1_MA0786.2	C_POU3F3	Pou3f1
POU3F2_MA0787.1	C_POU3F3	Pou3f2
POU3F3_MA0788.1	C_POU3F3	Pou3f3
POU3F4_MA0789.1	C_POU3F3	Pou3f4
POU4F1_MA0790.2	C_POU4F2	Pou4f1
POU4F2_MA0683.2	C_POU4F2	Pou4f2
POU4F3_MA0791.2	C_POU4F2	Pou4f3
POU5F1_MA1115.2	C_POU2F3	Pou5f1
POU5F1B_MA0792.1	C_POU3F3	Pou5f1
Pou5f1Sox2_MA0142.1	C_Pou5f1::Sox2	Ewsr1::Fli1
POU6F1_MA0628.2	C_mix-a	Pou6f1
POU6F1_MA1549.2	C_HOXB4	Pou6f1
POU6F2_MA0793.2	C_POU6F2	Pou6f2
Ppara_MA2338.1	C_Nr1h3	Ppara
PPARARXRA_MA1148.2	C_PPARA::RXRA	Ppara::Rxra
PPARD_MA1550.2	C_Nr2f6	Ppard
PPARG_MA0066.2	C_PPARG	Pparg
PpargRxra_MA0065.3	C_Nr2f6	Pparg::Rxra
PRDM1_MA0508.4	C_PRDM1	Prdm1
Prdm14_MA1998.2	C_Prdm14	Prdm14
Prdm15_MA1616.2	C_Prdm15	Prdm15
Prdm4_MA1647.3	C_Prdm4	Prdm4
Prdm5_MA1999.2	C_Prdm5	Prdm5
PRDM9_MA1723.2	C_PRDM9	Prdm9
PROP1_MA0715.1	C_PHOX2A	Prop1
PROX1_MA0794.1	C_PROX1	Prox1
PRRX1_MA0716.2	C_mix-a	Prrx1
PRRX2_MA0075.4	C_PRRX2	Prrx2
Ptf1A_MA1618.2	C_Ptf1A	Ptf1a
Ptf1A_MA1619.2	C_Twist2	Ptf1a
Ptf1A_MA1620.2	C_TCF3	Ptf1a
RARA_MA0729.1	C_RARA	Rara
RARA_MA0730.1	C_Rarb	Rara
RARARXRA_MA0159.1	C_RARA::RXRA	Rxra::Rxra
RARARXRG_MA1149.2	C_Rarb	Rara::Rxrg
Rarb_MA0857.1	C_Rarb	Rarb
Rarb_MA0858.1	C_Rarb	Rarb
RARB_MA1552.2	C_RXRG	Rarb
Rarg_MA0859.2	C_Rarb	Rarg
Rarg_MA0860.1	C_Rarg	Rarg
RARG_MA1553.2	C_RXRG	Rarg
RAX_MA0718.2	C_mix-a	Rax
RAX2_MA0717.2	C_mix-a	
RBPJ_MA1116.2	C_RBPJ	Rbpj
REL_MA0101.1	C_REL	Rel
RELA_MA0107.1	C_REL	Rela
RELB_MA1117.2	C_RELB	Relb
REST_MA0138.3	C_REST	Rest
RFX1_MA0509.3	C_RFX2	Rfx1
RFX2_MA0600.3	C_RFX2	Rfx2
RFX3_MA0798.3	C_RFX2	Rfx3
RFX4_MA0799.3	C_RFX4	Rfx4
RFX5_MA0510.3	C_RFX2	Rfx5
Rfx6_MA1724.2	C_Rfx6	Rfx6
RFX7_MA1554.2	C_RFX7	Rfx7
Rhox11_MA0629.2	C_Rhox11	Rhox11
RHOXF1_MA0719.2	C_RHOXF1	
RORA_MA0071.1	C_RORA	Rora
RORA_MA0072.2	C_RORA	Rora
RORB_MA1150.2	C_RORB	Rorb
RORC_MA1151.2	C_RORB	Rorc
RREB1_MA0073.2	C_RREB1	Rreb1
Runx1_MA0002.3	C_Bcl11B	Runx1
RUNX2_MA0511.2	C_Bcl11B	Runx2
RUNX3_MA0684.3	C_RUNX3	Runx3
Rxra_MA0512.2	C_Nr2f6	Rxra
RXRAVDR_MA0074.1	C_RXRA::VDR	Rxra::Vdr
RXRB_MA0855.1	C_Nr2f6	Rxrb
RXRB_MA1555.1	C_RXRG	Rxrb
RXRG_MA0856.1	C_Nr2f6	Rxrg
RXRG_MA1556.1	C_RXRG	Rxrg
SATB1_MA1963.2	C_SATB1	Satb1
SCRT1_MA0743.3	C_SCRT2	Scrt1
SCRT2_MA0744.3	C_SCRT2	Scrt2
SHOX_MA0630.2	C_mix-a	
Shox2_MA0720.2	C_mix-a	Shox2
SIX1_MA1118.2	C_SIX2	Six1
SIX2_MA1119.2	C_SIX2	Six2
Six3_MA0631.2	C_Six3	Six3
Six4_MA2001.2	C_Six4	Six4
SMAD2_MA1964.2	C_SMAD2	Smad2
SMAD3_MA0795.1	C_SMAD3	Smad3
Smad4_MA1153.2	C_Smad4	Smad4
SMAD5_MA1557.1	C_SMAD3	Smad5
SNAI1_MA1558.2	C_TCF3	Snai1
SNAI2_MA0745.3	C_TCF3	Snai2
SNAI3_MA1559.2	C_TCF3	Snai3
SOHLH2_MA1560.2	C_Mlxip	Sohlh2
Sox1_MA0870.1	C_SOX21	Sox1
SOX10_MA0442.3	C_Sox11	Sox10
Sox11_MA0869.3	C_Sox11	Sox11
SOX12_MA1561.2	C_SOX12	Sox12
SOX13_MA1120.2	C_Sox3	Sox13
SOX14_MA1562.2	C_SOX14	Sox14
SOX15_MA1152.2	C_Sox3	Sox15
Sox17_MA0078.3	C_SOX18	Sox17
SOX18_MA1563.2	C_SOX18	Sox18
SOX2_MA0143.5	C_Sox3	Sox2
SOX21_MA0866.1	C_SOX21	Sox21
Sox3_MA0514.3	C_Sox3	Sox3
SOX4_MA0867.3	C_Sox6	Sox4
Sox5_MA0087.3	C_SOX18	Sox5
Sox6_MA0515.1	C_Sox6	Sox6
Sox7_MA2095.1	C_SOX18	Sox7
SOX8_MA0868.3	C_SOX18	Sox8
SOX9_MA0077.2	C_SOX18	Sox9
SP1_MA0079.5	C_KLF5	Sp1
SP2_MA0516.3	C_KLF5	Sp2
SP3_MA0746.3	C_SP3	Sp3
SP4_MA0685.2	C_KLF5	Sp4
SP5_MA1965.2	C_SP5	Sp5
SP8_MA0747.2	C_SP3	Sp8
SP9_MA1564.2	C_SP3	Sp9
SPDEF_MA0686.2	C_SPDEF	Erf::Foxo1
Spi1_MA0080.7	C_Spi1	Spi1
SPIB_MA0081.3	C_Spi1	Spib
SPIC_MA0687.2	C_SPIC	Spic
Spz1_MA0111.1	C_Spz1	Spz1
SREBF1_MA0595.1	C_SREBF1	Srebf1
SREBF1_MA0829.3	C_SREBF1	Srebf1
SREBF2_MA0596.1	C_SREBF1	Srebf2
SREBF2_MA0828.3	C_BHLHE41	Erf::Nhlh1
SRF_MA0083.3	C_SRF	Srf
SRY_MA0084.2	C_SRY	Sry
STAT1_MA0137.4	C_Stat4	Stat1
STAT1STAT2_MA0517.2	C_STAT1::STAT2	Stat1::Stat2
Stat2_MA1623.2	C_Stat2	Stat2
STAT3_MA0144.3	C_Stat4	Stat3
Stat4_MA0518.2	C_Stat4	Stat4
Stat5a_MA1624.2	C_Stat5a	Stat5a
Stat5aStat5b_MA0519.2	C_Stat5b	Stat5a::Stat5b
Stat5b_MA1625.2	C_Stat5b	Stat5b
Stat6_MA0520.2	C_Stat6	Stat6
TAL1TCF3_MA0091.2	C_TAL1::TCF3	Tal1::Tcf3
TBP_MA0108.3	C_TBP	Tbp
TBR1_MA0802.2	C_TBX2	Tbr1
TBX1_MA0805.1	C_TBX2	Tbx1
TBX15_MA0803.1	C_TBX2	Tbx15
TBX18_MA1565.2	C_TBX2	Tbx18
TBX19_MA0804.2	C_TBX19	Tbx19
TBX2_MA0688.2	C_TBX2	Tbx2
TBX20_MA0689.1	C_TBX20	Tbx20
TBX21_MA0690.3	C_TBX2	Tbx21
TBX3_MA1566.3	C_TBX2	Tbx3
TBX4_MA0806.1	C_TBX2	Tbx4
TBX5_MA0807.1	C_TBX2	Tbx5
Tbx6_MA1567.3	C_TBX2	Tbx6
TBXT_MA0009.2	C_TBX19	Tbxt
Tcf12_MA0521.3	C_Twist2	Tcf12
TCF12_MA1648.2	C_TCF3	Tcf12
Tcf21_MA0832.2	C_Tcf21	Tcf21
TCF21_MA1568.2	C_ATOH7	Tcf21
TCF3_MA0522.4	C_TCF3	Tcf3
TCF4_MA0830.3	C_TCF3	Tcf4
TCF7_MA0769.3	C_Hnf1A	Tcf7
TCF7L1_MA1421.1	C_TCF7L1	Tcf7l1
TCF7L2_MA0523.2	C_Hnf1A	Tcf7l2
TCFL5_MA0632.3	C_TCFL5	Tcfl5
TEAD1_MA0090.4	C_TEAD1	Tead1
TEAD2_MA1121.2	C_TEAD1	Tead2
TEAD3_MA0808.1	C_TEAD1	Tead3
TEAD4_MA0809.3	C_TEAD1	Tead4
TEF_MA0843.2	C_TEF	Erf::Srebf2
TFAP2A_MA0003.5	C_TFAP2C	Tfap2a
TFAP2A_MA0810.2	C_TFAP2C	Tfap2a
TFAP2A_MA0872.1	C_TFAP2C	Tfap2a
TFAP2B_MA0811.2	C_TFAP2C	Tfap2b
TFAP2B_MA0812.2	C_TFAP2C	Tfap2b
TFAP2B_MA0813.1	C_TFAP2C	Tfap2b
TFAP2C_MA0524.3	C_TFAP2C	Tfap2c
TFAP2C_MA0814.3	C_TFAP2C	Tfap2c
TFAP2C_MA0815.1	C_TFAP2C	Tfap2c
TFAP2E_MA1569.2	C_TFAP2C	Tfap2e
TFAP4_MA0691.1	C_TFAP4	Tfap4
TFAP4_MA1570.1	C_TFAP4	Tfap4
TFAP4ETV1_MA1966.2	C_ETV5::FIGLA	Tfap4::Etv1
TFAP4FLI1_MA1967.2	C_TFAP4::FLI1	Tfap4::Fli1
TFCP2_MA1968.2	C_GRHL1	Tfcp2
Tfcp2l1_MA0145.2	C_Tfcp2l1	Tfcp2l1
TFDP1_MA1122.2	C_TFDP1	Tfdp1
TFE3_MA0831.3	C_BHLHE41	Tfe3
TFEB_MA0692.2	C_ARNT2	Tfeb
TFEC_MA0871.3	C_ARNT2	Tfec
TGIF1_MA0796.1	C_PKNOX2	Tgif1
TGIF2_MA0797.1	C_PKNOX2	Tgif2
TGIF2LX_MA1571.1	C_PKNOX2	Tgif2lx1
TGIF2LY_MA1572.1	C_PKNOX2	Tgif2lx1
THAP1_MA0597.3	C_THAP1	Thap1
Thap11_MA1573.2	C_Thap11	Thap11
THRA_MA1969.2	C_THRA	Thra
THRB_MA1574.2	C_Nr2f6	Thrb
THRB_MA1575.2	C_THRB	Thrb
THRB_MA1576.2	C_THRB	Thrb
TLX2_MA1577.2	C_mix-a	Tlx2
TP53_MA0106.3	C_TP53	Tp53
TP63_MA0525.2	C_TP63	Tp63
TP73_MA0861.2	C_TP73	Tp73
TRPS1_MA1970.2	C_Gata3	Trps1
TWIST1_MA1123.3	C_TWIST1	Twist1
Twist2_MA0633.3	C_Twist2	Twist2
UNCX_MA0721.2	C_mix-a	Uncx
USF1_MA0093.4	C_BHLHE41	Usf1
USF2_MA0526.5	C_BHLHE41	Usf2
VAX1_MA0722.2	C_mix-a	Vax1
VAX2_MA0723.3	C_mix-a	Vax2
Vdr_MA0693.4	C_NR1I3	Vdr
VENTX_MA0724.1	C_VENTX	
VEZF1_MA1578.2	C_VEZF1	Vezf1
VSX1_MA0725.2	C_mix-a	Vsx1
VSX2_MA0726.2	C_mix-a	Vsx2
Wt1_MA1627.2	C_Wt1	Wt1
XBP1_MA0844.2	C_CREB3	Xbp1
Yy1_MA0095.4	C_Yy1	Yy1
YY2_MA0748.3	C_YY2	Yy2
ZBED1_MA0749.2	C_ZBED1	Zbed1
ZBED2_MA1971.2	C_ZBED2	Zbed2
ZBED4_MA2328.1	C_ZBED4	Zbed4
ZBTB11_MA2329.1	C_ETS1	Zbtb11
ZBTB12_MA1649.2	C_ZBTB12	Zbtb12
ZBTB14_MA1650.2	C_ZBTB14	Zbtb14
ZBTB17_MA2102.1	C_ZBTB17	Zbtb17
ZBTB18_MA0698.2	C_ZBTB18	Zbtb18
Zbtb2_MA2340.1	C_ETS1	Zbtb2
ZBTB24_MA2330.1	C_ZBTB24	Zbtb24
ZBTB26_MA1579.2	C_ZBTB26	Zbtb26
ZBTB32_MA1580.1	C_ZBTB32	Zbtb32
ZBTB33_MA0527.2	C_ZBTB33	Zbtb33
ZBTB6_MA1581.2	C_ZBTB6	Zbtb6
ZBTB7A_MA0750.3	C_ETS1	Zbtb7a
ZBTB7B_MA0694.2	C_ZBTB7B	Zbtb7b
ZBTB7C_MA0695.2	C_ZBTB7B	Zbtb7c
ZEB1_MA0103.4	C_TCF3	Zeb1
ZFP14_MA1972.1	C_ZFP14	Zfp14
Zfp335_MA2002.2	C_Zfp335	Zfp335
ZFP42_MA1651.2	C_ZFP42	Zfp42
ZFP57_MA1583.2	C_ZFP57	Zfp57
Zfp809_MA2125.1	C_Zfp809	Zfp809
Zfp961_MA2126.1	C_Zfp961	Zfp961
Zfx_MA0146.3	C_Zfx	Zfx
ZIC1_MA0696.1	C_ZIC1	Zic1
Zic1Zic2_MA1628.2	C_Zic2	Zic1::Zic2
Zic2_MA1629.2	C_Zic2	Zic2
Zic3_MA0697.3	C_Zic2	Zic3
ZIC4_MA0751.2	C_ZIC1	Zic4
ZIC5_MA1584.2	C_ZIC1	Zic5
ZIM3_MA1709.2	C_ZIM3	Zim3
ZKSCAN1_MA1585.2	C_ZKSCAN1	Zkscan1
ZKSCAN3_MA1973.2	C_ZKSCAN3	Zkscan3
ZKSCAN5_MA1652.2	C_ZKSCAN5	Zkscan5
ZNF135_MA1587.1	C_ZNF135	Zfp35
ZNF136_MA1588.1	C_ZNF136	
ZNF140_MA1589.2	C_ZNF140	
ZNF143_MA0088.2	C_ZNF143	Zfp143
ZNF148_MA1653.2	C_PATZ1	Zfp148
ZNF157_MA2331.1	C_ZNF157	Zfp157
ZNF16_MA1654.2	C_ZNF16	
ZNF175_MA2332.1	C_GABPA	Zfp175
ZNF184_MA2120.1	C_ZNF184	Zfp184
ZNF189_MA1725.2	C_ZNF189	Zfp189
ZNF211_MA1974.2	C_ZNF211	Zfp211
ZNF213_MA2121.1	C_ZNF213	Zfp213
ZNF214_MA1975.2	C_ZNF214	
ZNF24_MA1124.1	C_ZNF24	Zfp24
ZNF257_MA1710.2	C_ZNF257	
ZNF263_MA0528.3	C_SP5	Zfp263
ZNF274_MA1592.2	C_ZNF274	
ZNF281_MA1630.3	C_PATZ1	Zfp281
ZNF282_MA1154.2	C_ZNF282	Zfp282
ZNF317_MA1593.2	C_ZNF317	Zfp317
ZNF320_MA1976.2	C_ZNF320	
ZNF324_MA1977.2	C_ZNF324	Zfp324
ZNF331_MA1726.2	C_ZNF331	
ZNF341_MA1655.2	C_ZNF341	Zfp341
ZNF343_MA1711.2	C_ZNF343	
ZNF35_MA2333.1	C_ZNF35	Zfp35
ZNF354A_MA1978.2	C_ZNF354A	Zfp354a
ZNF354C_MA0130.1	C_ZNF354C	Zfp354c
ZNF382_MA1594.1	C_ZNF382	Zfp382
ZNF384_MA1125.2	C_ZNF384	Zfp384
ZNF410_MA0752.2	C_ZNF410	Zfp410
ZNF416_MA1979.2	C_ZNF416	
ZNF417_MA1727.2	C_ZNF417	
ZNF418_MA1980.1	C_ZNF418	Zfp418
Znf423_MA0116.1	C_Znf423	Zfp423
ZNF449_MA1656.2	C_ZNF449	Zfp449
ZNF454_MA1712.2	C_ZNF454	Zfp454
ZNF460_MA1596.1	C_ZNF460	
ZNF524_MA2096.1	C_ZNF524	Zfp524
ZNF528_MA1597.1	C_ZNF528	
ZNF530_MA1981.2	C_ZNF530	
ZNF547_MA2334.1	C_ZNF547	
ZNF549_MA1728.2	C_ZNF549	
ZNF558_MA2335.1	C_ZNF558	Zfp558
ZNF574_MA1982.2	C_ZNF574	Zfp574
ZNF582_MA1983.2	C_ZNF582	Zfp582
ZNF610_MA1713.2	C_ZNF610	
ZNF652_MA1657.2	C_ZNF652	Zfp652
ZNF667_MA1984.2	C_ZNF667	Zfp667
ZNF669_MA1985.1	C_ZNF669	
ZNF675_MA1714.2	C_ZNF675	
ZNF677_MA2101.1	C_ZNF677	Zfp677
ZNF680_MA1729.2	C_ZNF680	
ZNF682_MA1599.2	C_ZNF682	
ZNF684_MA1600.2	C_ZNF684	
ZNF692_MA1986.2	C_ZNF692	Zfp692
ZNF701_MA1987.2	C_ZNF701	
ZNF707_MA1715.1	C_ZNF707	Zfp707
ZNF708_MA1730.2	C_ZNF708	Zfp708
ZNF740_MA0753.3	C_ZNF740	Zfp740
ZNF75A_MA2097.1	C_ZNF75A	
ZNF75D_MA1601.2	C_ZNF75D	Zfp75d
ZNF76_MA1716.2	C_ZNF143	Zfp54
ZNF766_MA2098.1	C_ZNF766	
ZNF768_MA1731.2	C_ZNF768	Zfp768
ZNF770_MA2099.1	C_ZNF770	Zfp770
ZNF784_MA1717.2	C_ZNF784	Zfp784
ZNF8_MA1718.1	C_ZNF8	Zfp8
ZNF816_MA1719.2	C_ZNF816	
ZNF85_MA1720.2	C_ZNF85	Zfp85
ZNF93_MA1721.2	C_ZNF93	Zfp93
ZSCAN16_MA2100.1	C_ZSCAN16	
ZSCAN21_MA2336.1	C_ZSCAN21	Zscan21
ZSCAN29_MA1602.2	C_ZSCAN29	Zscan29
ZSCAN31_MA1722.2	C_ZSCAN31	
ZSCAN4_MA1155.1	C_ZSCAN4	Zscan4c
